Bookmaker,StartDate,StartTime,RealTime,Team1,Team2,Result,Quote1,QuoteX,Quote2;
b365,2019_10_19,14:00,N/A,Chelsea,Newcastle,N/A,1.30,5.50,9.00;
b365,2019_10_19,14:00,N/A,Leicester,Burnley,N/A,1.50,4.33,6.00;
b365,2019_10_19,14:00,N/A,Tottenham,Watford,N/A,1.33,5.00,9.00;
b365,2019_10_19,14:00,N/A,Wolverhampton,Southampton,N/A,1.95,3.50,3.80;
b365,2019_10_19,16:30,N/A,Crystal Palace,Manchester City,N/A,13.00,7.00,1.18;
b365,2019_10_20,15:30,N/A,Manchester United,Liverpool,N/A,4.00,3.75,1.83;
b365,2019_10_21,19:00,N/A,Sheffield United,Arsenal,N/A,4.33,3.80,1.75;
b365,2019_10_04,19:00,N/A,Real Betis,Eibar,N/A,1.95,3.50,3.75;
b365,2019_10_05,11:00,N/A,Leganes,Levante,N/A,1.90,3.50,4.00;
b365,2019_10_05,14:00,N/A,Real Madrid,Granada,N/A,1.28,5.50,9.50;
b365,2019_10_05,16:30,N/A,Valencia,Alaves,N/A,1.57,4.00,5.50;
b365,2019_10_05,19:00,N/A,Osasuna,Villarreal,N/A,3.30,3.20,2.25;
b365,2019_10_06,10:00,N/A,Maiorca,Espanyol,N/A,2.45,3.20,2.90;
b365,2019_10_06,12:00,N/A,Celta Vigo,Atletico Bilbao,N/A,2.87,3.10,2.55;
b365,2019_10_06,14:00,N/A,Valladolid,Atletico Madrid,N/A,5.25,3.50,1.70;
b365,2019_10_06,16:30,N/A,Real Sociedad,Getafe,N/A,1.90,3.30,4.20;
b365,2019_10_06,19:00,N/A,Barcellona,Siviglia,N/A,1.55,4.00,5.75;
b365,2019_10_04,18:30,N/A,Hertha Berlino,Fortuna Dusseldorf,N/A,1.85,3.50,4.20;
b365,2019_10_05,13:30,N/A,Bayer Leverkusen,RB Lipsia,N/A,2.45,3.50,2.75;
b365,2019_10_05,13:30,N/A,Bayern Monaco,TSG Hoffenheim,N/A,1.10,9.50,19.00;
b365,2019_10_05,13:30,N/A,Paderborn,Mainz,N/A,2.62,3.50,2.50;
b365,2019_10_05,13:30,N/A,SC Friburgo,Borussia Dortmund,N/A,6.00,4.33,1.50;
b365,2019_10_05,16:30,N/A,Schalke 04,Colonia,N/A,1.57,4.00,5.50;
b365,2019_10_06,11:30,N/A,Borussia M'gladbach,Augsburg,N/A,1.53,4.20,5.75;
b365,2019_10_06,13:30,N/A,Wolfsburg,Union Berlino,N/A,1.55,4.00,4.75;
b365,2019_10_06,16:00,N/A,Eintracht Francoforte,Werder Brema,N/A,2.15,3.60,3.10;
b365,2019_10_18,18:30,N/A,Eintracht Francoforte,Bayer Leverkusen,N/A,2.87,3.75,2.20;
b365,2019_10_19,13:30,N/A,Augsburg,Bayern Monaco,N/A,12.00,6.50,1.16;
b365,2019_10_19,13:30,N/A,Fortuna Dusseldorf,Mainz,N/A,2.40,3.60,2.70;
b365,2019_10_19,13:30,N/A,RB Lipsia,Wolfsburg,N/A,1.57,4.20,5.25;
b365,2019_10_19,13:30,N/A,Union Berlino,SC Friburgo,N/A,2.40,3.50,2.80;
b365,2019_10_19,13:30,N/A,Werder Brema,Hertha Berlino,N/A,1.90,3.80,3.60;
b365,2019_10_19,16:30,N/A,Borussia Dortmund,Borussia M'gladbach,N/A,1.36,5.25,7.00;
b365,2019_10_20,13:30,N/A,Colonia,Paderborn,N/A,1.66,4.20,4.33;
b365,2019_10_20,16:00,N/A,TSG Hoffenheim,Schalke 04,N/A,2.70,3.40,2.50;
b365,2019_10_04,18:45,N/A,Amiens,Marsiglia,N/A,3.20,3.10,2.30;
b365,2019_10_05,15:30,N/A,Paris Saint Germain,Angers,N/A,1.16,7.00,11.00;
b365,2019_10_05,18:00,N/A,Brest,Metz,N/A,2.40,3.25,2.90;
b365,2019_10_05,18:00,N/A,Digione,Strasburgo,N/A,2.60,3.10,2.75;
b365,2019_10_05,18:00,N/A,Montpellier,Monaco,N/A,2.50,3.20,2.87;
b365,2019_10_05,18:00,N/A,Nantes,Nizza,N/A,1.90,3.25,4.33;
b365,2019_10_05,18:00,N/A,Tolosa,Bordeaux,N/A,2.40,3.10,3.10;
b365,2019_10_06,13:00,N/A,Lilla,Nimes,N/A,1.60,3.60,6.50;
b365,2019_10_06,15:00,N/A,Rennes,Reims,N/A,2.20,3.10,3.50;
b365,2019_10_06,19:00,N/A,St Etienne,Lione,N/A,3.40,3.50,2.05;
